start_utc	end_utc	startdate	enddate	day	ndays	livetime	eff	efflivetime
946684800	946771200	2000-01-01	2000-01-02	0	1	86400.0	0.1	8640.0
946771200	946857600	2000-01-02	2000-01-03	1	1	86400.0	0.1	8640.0
946857600	946944000	2000-01-03	2000-01-04	2	1	86400.0	0.1	8640.0
946944000	947030400	2000-01-04	2000-01-05	3	1	86400.0	0.1	8640.0
947030400	947116800	2000-01-05	2000-01-06	4	1	86400.0	0.1	8640.0
947116800	947203200	2000-01-06	2000-01-07	5	1	86400.0	0.1	8640.0
947203200	947289600	2000-01-07	2000-01-08	6	1	86400.0	0.1	8640.0
947289600	947376000	2000-01-08	2000-01-09	7	1	86400.0	0.1	8640.0
947376000	947462400	2000-01-09	2000-01-10	8	1	86400.0	0.1	8640.0
947462400	947548800	2000-01-10	2000-01-11	9	1	86400.0	0.1	8640.0
947548800	947635200	2000-01-11	2000-01-12	10	1	86400.0	0.1	8640.0
947635200	947721600	2000-01-12	2000-01-13	11	1	86400.0	0.1	8640.0
947721600	947808000	2000-01-13	2000-01-14	12	1	86400.0	0.1	8640.0
947808000	947894400	2000-01-14	2000-01-15	13	1	86400.0	0.1	8640.0
947894400	947980800	2000-01-15	2000-01-16	14	1	86400.0	0.1	8640.0
947980800	948067200	2000-01-16	2000-01-17	15	1	86400.0	0.1	8640.0
948067200	948153600	2000-01-17	2000-01-18	16	1	86400.0	0.1	8640.0
948153600	948240000	2000-01-18	2000-01-19	17	1	86400.0	0.1	8640.0
948240000	948326400	2000-01-19	2000-01-20	18	1	86400.0	0.1	8640.0
948326400	948412800	2000-01-20	2000-01-21	19	1	86400.0	0.1	8640.0
948412800	948499200	2000-01-21	2000-01-22	20	1	86400.0	0.1	8640.0
948499200	948585600	2000-01-22	2000-01-23	21	1	86400.0	0.1	8640.0
948585600	948672000	2000-01-23	2000-01-24	22	1	86400.0	0.1	8640.0
948672000	948758400	2000-01-24	2000-01-25	23	1	86400.0	0.1	8640.0
948758400	948844800	2000-01-25	2000-01-26	24	1	86400.0	0.1	8640.0
948844800	948931200	2000-01-26	2000-01-27	25	1	86400.0	0.1	8640.0
948931200	949017600	2000-01-27	2000-01-28	26	1	86400.0	0.1	8640.0
949017600	949104000	2000-01-28	2000-01-29	27	1	86400.0	0.1	8640.0
949104000	949190400	2000-01-29	2000-01-30	28	1	86400.0	0.1	8640.0
949190400	949276800	2000-01-30	2000-01-31	29	1	86400.0	0.1	8640.0
949276800	949363200	2000-01-31	2000-02-01	30	1	86400.0	0.1	8640.0
949363200	949449600	2000-02-01	2000-02-02	31	1	86400.0	0.1	8640.0
949449600	949536000	2000-02-02	2000-02-03	32	1	86400.0	0.1	8640.0
949536000	949622400	2000-02-03	2000-02-04	33	1	86400.0	0.1	8640.0
949622400	949708800	2000-02-04	2000-02-05	34	1	86400.0	0.1	8640.0
949708800	949795200	2000-02-05	2000-02-06	35	1	86400.0	0.1	8640.0
949795200	949881600	2000-02-06	2000-02-07	36	1	86400.0	0.1	8640.0
949881600	949968000	2000-02-07	2000-02-08	37	1	86400.0	0.1	8640.0
