E	Correction
1.80	2.0000000000000000e-02
1.81	1.9952138762806382e-02
1.82	1.9904052392685771e-02
1.83	1.9855740889638179e-02
1.84	1.9807204253663599e-02
1.85	1.9758442484762027e-02
1.86	1.9709455582933470e-02
1.87	1.9660243548177924e-02
1.88	1.9610806380495397e-02
1.89	1.9561144079885875e-02
1.90	1.9511256646349371e-02
1.91	1.9461144079885875e-02
1.92	1.9410806380495395e-02
1.93	1.9360243548177922e-02
1.94	1.9309455582933472e-02
1.95	1.9258442484762030e-02
1.96	1.9207204253663596e-02
1.97	1.9155740889638177e-02
1.98	1.9104052392685769e-02
1.99	1.9052138762806380e-02
2.00	1.8999999999999996e-02
2.01	1.8947636104266630e-02
2.02	1.8895047075606269e-02
2.03	1.8842232914018930e-02
2.04	1.8789193619504603e-02
2.05	1.8735929192063280e-02
2.06	1.8682439631694976e-02
2.07	1.8628724938399684e-02
2.08	1.8574785112177410e-02
2.09	1.8520620153028137e-02
2.10	1.8466230060951883e-02
2.11	1.8411614835948640e-02
2.12	1.8356774478018412e-02
2.13	1.8301708987161200e-02
2.14	1.8246418363376989e-02
2.15	1.8190902606665796e-02
2.16	1.8135161717027618e-02
2.17	1.8079195694462452e-02
2.18	1.8023004538970298e-02
2.19	1.7966588250551158e-02
2.20	1.7909946829205031e-02
2.21	1.7853080274931911e-02
2.22	1.7795988587731806e-02
2.23	1.7738671767604717e-02
2.24	1.7681129814550636e-02
2.25	1.7623362728569573e-02
2.26	1.7563600881857083e-02
2.27	1.7500074646608736e-02
2.28	1.7432784022824530e-02
2.29	1.7361729010504472e-02
2.30	1.7286909609648547e-02
2.31	1.7208325820256772e-02
2.32	1.7125977642329138e-02
2.33	1.7039865075865641e-02
2.34	1.6949988120866285e-02
2.35	1.6856346777331083e-02
2.36	1.6758941045260010e-02
2.37	1.6657770924653086e-02
2.38	1.6552836415510305e-02
2.39	1.6444137517831664e-02
2.40	1.6331674231617167e-02
2.41	1.6215446556866808e-02
2.42	1.6095454493580588e-02
2.43	1.5971698041758520e-02
2.44	1.5844177201400592e-02
2.45	1.5712891972506800e-02
2.46	1.5577842355077150e-02
2.47	1.5439028349111652e-02
2.48	1.5296449954610289e-02
2.49	1.5150107171573068e-02
2.50	1.4999999999999986e-02
2.51	1.4846128439891053e-02
2.52	1.4688492491246263e-02
2.53	1.4527092154065609e-02
2.54	1.4361927428349096e-02
2.55	1.4192998314096733e-02
2.56	1.4020304811308512e-02
2.57	1.3843846919984425e-02
2.58	1.3663624640124479e-02
2.59	1.3479637971728686e-02
2.60	1.3291886914797031e-02
2.61	1.3100371469329514e-02
2.62	1.2905091635326138e-02
2.63	1.2706047412786910e-02
2.64	1.2503238801711827e-02
2.65	1.2296665802100877e-02
2.66	1.2086328413954071e-02
2.67	1.1872226637271412e-02
2.68	1.1654360472052898e-02
2.69	1.1432729918298516e-02
2.70	1.1207334976008274e-02
2.71	1.0978175645182187e-02
2.72	1.0745251925820242e-02
2.73	1.0508563817922428e-02
2.74	1.0268111321488756e-02
2.75	1.0023894436519236e-02
2.76	9.7796010893528556e-03
2.77	9.5389192063285999e-03
2.78	9.3018487874464775e-03
2.79	9.0683898327065023e-03
2.80	8.8385423421086587e-03
2.81	8.6123063156529431e-03
2.82	8.3896817533393592e-03
2.83	8.1706686551679206e-03
2.84	7.9552670211386171e-03
2.85	7.7434768512514391e-03
2.86	7.5352981455063944e-03
2.87	7.3307309039034943e-03
2.88	7.1297751264427292e-03
2.89	6.9324308131240887e-03
2.90	6.7386979639475833e-03
2.91	6.5485765789132224e-03
2.92	6.3620666580209940e-03
2.93	6.1791682012708928e-03
2.94	5.9998812086629267e-03
2.95	5.8242056801971025e-03
2.96	5.6521416158734124e-03
2.97	5.4836890156918505e-03
2.98	5.3188478796524228e-03
2.99	5.1576182077551378e-03
3.00	4.9999999999999871e-03
3.01	4.8459932563869627e-03
3.02	4.6955979769160742e-03
