E	Correction
1.80	5.9999999999999998e-02
1.81	5.9864712618337444e-02
1.82	5.9727876540007781e-02
1.83	5.9589491765011021e-02
1.84	5.9449558293347166e-02
1.85	5.9308076125016200e-02
1.86	5.9165045260018152e-02
1.87	5.9020465698352995e-02
1.88	5.8874337440020748e-02
1.89	5.8726660485021391e-02
1.90	5.8577434833354945e-02
1.91	5.8426660485021389e-02
1.92	5.8274337440020745e-02
1.93	5.8120465698352997e-02
1.94	5.7965045260018153e-02
1.95	5.7808076125016206e-02
1.96	5.7649558293347163e-02
1.97	5.7489491765011023e-02
1.98	5.7327876540007774e-02
1.99	5.7164712618337436e-02
2.00	5.7000000000000002e-02
2.01	5.6833738684995465e-02
2.02	5.6665928673323804e-02
2.03	5.6496569964985081e-02
2.04	5.6325662559979249e-02
2.05	5.6153206458306307e-02
2.06	5.5979201659966268e-02
2.07	5.5803648164959141e-02
2.08	5.5626545973284924e-02
2.09	5.5447895084943577e-02
2.10	5.5267695499935147e-02
2.11	5.5085947218259622e-02
2.12	5.4902650239916993e-02
2.13	5.4717804564907276e-02
2.14	5.4531410193230441e-02
2.15	5.4343467124886524e-02
2.16	5.4153975359875497e-02
2.17	5.3962934898197375e-02
2.18	5.3770345739852156e-02
2.19	5.3576207884839834e-02
2.20	5.3380521333160416e-02
2.21	5.3183286084813888e-02
2.22	5.2984502139800278e-02
2.23	5.2784169498119565e-02
2.24	5.2582288159771749e-02
2.25	5.2378858124756830e-02
2.26	5.2169415743742689e-02
2.27	5.1949497367397228e-02
2.28	5.1719102995720391e-02
2.29	5.1478232628712220e-02
2.30	5.1226886266372694e-02
2.31	5.0965063908701848e-02
2.32	5.0692765555699647e-02
2.33	5.0409991207366091e-02
2.34	5.0116740863701187e-02
2.35	4.9813014524704956e-02
2.36	4.9498812190377370e-02
2.37	4.9174133860718436e-02
2.38	4.8838979535728154e-02
2.39	4.8493349215406545e-02
2.40	4.8137242899753588e-02
2.41	4.7770660588769269e-02
2.42	4.7393602282453609e-02
2.43	4.7006067980806622e-02
2.44	4.6608057683828280e-02
2.45	4.6199571391518583e-02
2.46	4.5780609103877538e-02
2.47	4.5351170820905173e-02
2.48	4.4911256542601460e-02
2.49	4.4460866268966386e-02
2.50	4.3999999999999963e-02
2.51	4.3528657735702213e-02
2.52	4.3046839476073122e-02
2.53	4.2554545221112662e-02
2.54	4.2051774970820861e-02
2.55	4.1538528725197740e-02
2.56	4.1014806484243264e-02
2.57	4.0480608247957427e-02
2.58	3.9935934016340241e-02
2.59	3.9380783789391735e-02
2.60	3.8815157567111888e-02
2.61	3.8239055349500665e-02
2.62	3.7652477136558109e-02
2.63	3.7055422928284225e-02
2.64	3.6447892724678993e-02
2.65	3.5829886525742392e-02
2.66	3.5201404331474458e-02
2.67	3.4562446141875196e-02
2.68	3.3913011956944586e-02
2.69	3.3253101776682600e-02
2.70	3.2582715601089281e-02
2.71	3.1901853430164641e-02
2.72	3.1210515263908660e-02
2.73	3.0508701102321296e-02
2.74	2.9796410945402592e-02
2.75	2.9073644793152574e-02
2.76	2.8352242977564470e-02
2.77	2.7644045830631500e-02
2.78	2.6949053352353706e-02
2.79	2.6267265542731098e-02
2.80	2.5598682401763669e-02
2.81	2.4943303929451370e-02
2.82	2.4301130125794244e-02
2.83	2.3672160990792314e-02
2.84	2.3056396524445549e-02
2.85	2.2453836726753929e-02
2.86	2.1864481597717478e-02
2.87	2.1288331137336216e-02
2.88	2.0725385345610123e-02
2.89	2.0175644222539174e-02
2.90	1.9639107768123394e-02
2.91	1.9115775982362804e-02
2.92	1.8605648865257382e-02
2.93	1.8108726416807105e-02
2.94	1.7625008637011996e-02
2.95	1.7154495525872081e-02
2.96	1.6697187083387331e-02
2.97	1.6253083309557725e-02
2.98	1.5822184204383291e-02
2.99	1.5404489767864042e-02
3.00	1.4999999999999963e-02
3.01	1.4608714900791034e-02
3.02	1.4230634470237272e-02
3.03	1.3865758708338696e-02
