# First column -- energy in center of bin, bin
#             width 0.05 MeV. Bins start from
#             1.800000 and end at 13.000000
#             MeV
# Second column -- antineutrino spectrum for Pu241, Huber model at given point
# 
E N_per_fission_per_MeV
1.824999999999999956e+00 1.390924000000000049e+00
1.875000000000000000e+00 1.354420000000000179e+00
1.925000000000000044e+00 1.317916000000000087e+00
1.975000000000000089e+00 1.281411999999999995e+00
2.024999999999999911e+00 1.244908000000000126e+00
2.075000000000000178e+00 1.208404000000000034e+00
2.125000000000000444e+00 1.171899999999999720e+00
2.175000000000000266e+00 1.135395999999999850e+00
2.225000000000000089e+00 1.098891999999999980e+00
2.275000000000000355e+00 1.061952999999999703e+00
2.325000000000000622e+00 1.024578999999999462e+00
2.375000000000000444e+00 9.872049999999996661e-01
2.425000000000000266e+00 9.498309999999997588e-01
2.475000000000000533e+00 9.124569999999996295e-01
2.525000000000000799e+00 8.821146999999995852e-01
2.575000000000000622e+00 8.588040999999997371e-01
2.625000000000000444e+00 8.354934999999997780e-01
2.675000000000000711e+00 8.121828999999997079e-01
2.725000000000000977e+00 7.888722999999995267e-01
2.775000000000000799e+00 7.635460999999995613e-01
2.825000000000000622e+00 7.362042999999997006e-01
2.875000000000000888e+00 7.088624999999995069e-01
2.925000000000001155e+00 6.815206999999993132e-01
2.975000000000000977e+00 6.541788999999994525e-01
3.025000000000000799e+00 6.300154999999996175e-01
3.075000000000001066e+00 6.090304999999995861e-01
3.125000000000001332e+00 5.880454999999994437e-01
3.175000000000001155e+00 5.670604999999995233e-01
3.225000000000000977e+00 5.460754999999996029e-01
3.275000000000001243e+00 5.259303999999995760e-01
3.325000000000001510e+00 5.066251999999994426e-01
3.375000000000001332e+00 4.873199999999994758e-01
3.425000000000001155e+00 4.680147999999995645e-01
3.475000000000001421e+00 4.487095999999994311e-01
3.525000000000001688e+00 4.297685999999993345e-01
3.575000000000001510e+00 4.111917999999994411e-01
3.625000000000001332e+00 3.926149999999994922e-01
3.675000000000001599e+00 3.740381999999994322e-01
3.725000000000001865e+00 3.554613999999993168e-01
3.775000000000001688e+00 3.397369999999995671e-01
3.825000000000001510e+00 3.268649999999996281e-01
3.875000000000001332e+00 3.139929999999996335e-01
3.925000000000002043e+00 3.011209999999994724e-01
3.975000000000001865e+00 2.882489999999995334e-01
4.025000000000002132e+00 2.756790999999994551e-01
4.075000000000001954e+00 2.634112999999995153e-01
4.125000000000002665e+00 2.511434999999993534e-01
4.175000000000002487e+00 2.388756999999993857e-01
4.225000000000002309e+00 2.266078999999994181e-01
4.275000000000002132e+00 2.150605999999995466e-01
4.325000000000002842e+00 2.042337999999993825e-01
4.375000000000002665e+00 1.934069999999994127e-01
4.425000000000002487e+00 1.825801999999994707e-01
4.475000000000002309e+00 1.717533999999995009e-01
4.525000000000003020e+00 1.622039999999994875e-01
4.575000000000002842e+00 1.539319999999995137e-01
4.625000000000002665e+00 1.456599999999995398e-01
4.675000000000002487e+00 1.373879999999995660e-01
4.725000000000003197e+00 1.291159999999994534e-01
4.775000000000003020e+00 1.222184899999996660e-01
4.825000000000002842e+00 1.166954699999996903e-01
4.875000000000002665e+00 1.111724499999997007e-01
4.925000000000003375e+00 1.056494299999996278e-01
4.975000000000003197e+00 1.001264099999996521e-01
5.025000000000003020e+00 9.510185999999973272e-02
5.075000000000002842e+00 9.057577999999974483e-02
5.125000000000003553e+00 8.604969999999967367e-02
5.175000000000003375e+00 8.152361999999968578e-02
5.225000000000003197e+00 7.699753999999971177e-02
5.275000000000003020e+00 7.284237999999976232e-02
5.325000000000003730e+00 6.905813999999971253e-02
5.375000000000003553e+00 6.527389999999973214e-02
5.425000000000003375e+00 6.148965999999974480e-02
5.475000000000003197e+00 5.770541999999975746e-02
5.525000000000003908e+00 5.433753999999977463e-02
5.575000000000003730e+00 5.138601999999978243e-02
5.625000000000003553e+00 4.843449999999979022e-02
5.675000000000003375e+00 4.548297999999979802e-02
5.725000000000004086e+00 4.253145999999975724e-02
5.775000000000003908e+00 3.999560999999983435e-02
5.825000000000003730e+00 3.787542999999984200e-02
5.875000000000003553e+00 3.575524999999984965e-02
5.925000000000003375e+00 3.363506999999985730e-02
5.975000000000004086e+00 3.151488999999982332e-02
6.025000000000003908e+00 2.939235999999983279e-02
6.075000000000003730e+00 2.726747999999984406e-02
6.125000000000004441e+00 2.514259999999981371e-02
6.175000000000004263e+00 2.301771999999981805e-02
6.225000000000004086e+00 2.089283999999982933e-02
6.275000000000003908e+00 1.938713999999993123e-02
6.325000000000003730e+00 1.850061999999993642e-02
6.375000000000004441e+00 1.761409999999992079e-02
6.425000000000004263e+00 1.672757999999992598e-02
6.475000000000004086e+00 1.584105999999992770e-02
6.525000000000004796e+00 1.494911999999991303e-02
6.575000000000004619e+00 1.405175999999991668e-02
6.625000000000004441e+00 1.315439999999992032e-02
6.675000000000004263e+00 1.225703999999992397e-02
6.725000000000004086e+00 1.135967999999992761e-02
6.775000000000004796e+00 1.059473899999993987e-02
6.825000000000004619e+00 9.962216999999941661e-03
6.875000000000004441e+00 9.329694999999943450e-03
6.925000000000005151e+00 8.697172999999934831e-03
6.975000000000004974e+00 8.064650999999936620e-03
7.025000000000004796e+00 7.421035999999937328e-03
7.075000000000004619e+00 6.766327999999939558e-03
7.125000000000004441e+00 6.111619999999941787e-03
7.175000000000005151e+00 5.456911999999931873e-03
7.225000000000004974e+00 4.802203999999934969e-03
7.275000000000004796e+00 4.317296999999969964e-03
7.325000000000005507e+00 4.002190999999964867e-03
7.375000000000005329e+00 3.687084999999966275e-03
7.425000000000005151e+00 3.371978999999967683e-03
7.475000000000004974e+00 3.056872999999968657e-03
7.525000000000004796e+00 2.787236999999978451e-03
7.575000000000005507e+00 2.563070999999975379e-03
7.625000000000005329e+00 2.338904999999976211e-03
7.675000000000005151e+00 2.114738999999976610e-03
7.725000000000005862e+00 1.890572999999973755e-03
7.775000000000005684e+00 1.706574999999983626e-03
7.825000000000005507e+00 1.562744999999984103e-03
7.875000000000005329e+00 1.418914999999984581e-03
7.925000000000005151e+00 1.275084999999985275e-03
7.975000000000005862e+00 1.131254999999983151e-03
8.025000000000005684e+00 1.005851263149399938e-03
8.075000000000006395e+00 9.068397621900550981e-04
8.125000000000007105e+00 8.175745106826693863e-04
8.175000000000006040e+00 7.370961314088480144e-04
8.225000000000006750e+00 6.645396839539755018e-04
8.275000000000005684e+00 5.991253687705220881e-04
8.325000000000006395e+00 5.401501462917493142e-04
8.375000000000007105e+00 4.869801810224292271e-04
8.425000000000006040e+00 4.390440293994621193e-04
8.475000000000006750e+00 3.958264982090451464e-04
8.525000000000007461e+00 3.568631075538028475e-04
8.575000000000006395e+00 3.217350988606638182e-04
8.625000000000007105e+00 2.900649342781237575e-04
8.675000000000006040e+00 2.615122390927280779e-04
8.725000000000006750e+00 2.357701435559210576e-04
8.775000000000007461e+00 2.125619848051129191e-04
8.825000000000006395e+00 1.916383334328872819e-04
8.875000000000007105e+00 1.727743127474361804e-04
8.925000000000007816e+00 1.557671819130215264e-04
8.975000000000006750e+00 1.404341569952766058e-04
9.025000000000007461e+00 1.266104464930634511e-04
9.075000000000006395e+00 1.141474802437994566e-04
9.125000000000007105e+00 1.029113126674139912e-04
9.175000000000007816e+00 9.278118318783929233e-05
9.225000000000006750e+00 8.364821836016867428e-05
9.275000000000007461e+00 7.541426175461312200e-05
9.325000000000008171e+00 6.799081902145423149e-05
9.375000000000007105e+00 6.129810679908145486e-05
9.425000000000007816e+00 5.526419524327137072e-05
9.475000000000006750e+00 4.982423496205270596e-05
9.525000000000007461e+00 4.491976004764260176e-05
9.575000000000008171e+00 4.049805971480713898e-05
9.625000000000007105e+00 3.651161179232887067e-05
9.675000000000007816e+00 3.291757197904240061e-05
9.725000000000008527e+00 2.967731337522321896e-05
9.775000000000007461e+00 2.675601134044595627e-05
9.825000000000008171e+00 2.412226921617991105e-05
9.875000000000008882e+00 2.174778089057882705e-05
9.925000000000007816e+00 1.960702657888369012e-05
9.975000000000008527e+00 1.767699854984226758e-05
1.002500000000000746e+01 1.593695385039445322e-05
1.007500000000000817e+01 1.436819137103275144e-05
1.012500000000000888e+01 1.295385085585287737e-05
1.017500000000000782e+01 1.167873169715582080e-05
1.022500000000000853e+01 1.052912956709900874e-05
