# First column -- energy in center of bin, bin
#             width 0.05 MeV. Bins start from
#             1.800000 and end at 13.000000
#             MeV
# Second column -- antineutrino spectrum for U235, Huber model at given point
# 
E N_per_fission_per_MeV
1.824999999999999956e+00 1.457495999999999903e+00
1.875000000000000000e+00 1.417240000000000055e+00
1.925000000000000044e+00 1.376983999999999986e+00
1.975000000000000089e+00 1.336727999999999916e+00
2.024999999999999911e+00 1.296472000000000069e+00
2.075000000000000178e+00 1.256215999999999777e+00
2.125000000000000444e+00 1.215959999999999708e+00
2.175000000000000266e+00 1.175703999999999860e+00
2.225000000000000089e+00 1.135448000000000013e+00
2.275000000000000355e+00 1.095257199999999820e+00
2.325000000000000622e+00 1.055131599999999503e+00
2.375000000000000444e+00 1.015005999999999631e+00
2.425000000000000266e+00 9.748803999999997583e-01
2.475000000000000533e+00 9.347547999999995527e-01
2.525000000000000799e+00 9.002429999999994603e-01
2.575000000000000622e+00 8.713449999999995921e-01
2.625000000000000444e+00 8.424469999999997238e-01
2.675000000000000711e+00 8.135489999999996336e-01
2.725000000000000977e+00 7.846509999999995433e-01
2.775000000000000799e+00 7.582323999999996955e-01
2.825000000000000622e+00 7.342931999999997572e-01
2.875000000000000888e+00 7.103539999999995969e-01
2.925000000000001155e+00 6.864147999999994365e-01
2.975000000000000977e+00 6.624755999999996092e-01
3.025000000000000799e+00 6.407959999999996992e-01
3.075000000000001066e+00 6.213759999999995953e-01
3.125000000000001332e+00 6.019559999999994915e-01
3.175000000000001155e+00 5.825359999999994987e-01
3.225000000000000977e+00 5.631159999999996169e-01
3.275000000000001243e+00 5.434462999999994937e-01
3.325000000000001510e+00 5.235268999999993511e-01
3.375000000000001332e+00 5.036074999999994306e-01
3.425000000000001155e+00 4.836880999999995101e-01
3.475000000000001421e+00 4.637686999999994786e-01
3.525000000000001688e+00 4.448652999999994084e-01
3.575000000000001510e+00 4.269778999999994662e-01
3.625000000000001332e+00 4.090904999999995240e-01
3.675000000000001599e+00 3.912030999999994152e-01
3.725000000000001865e+00 3.733156999999993064e-01
3.775000000000001688e+00 3.572917999999994931e-01
3.825000000000001510e+00 3.431313999999995312e-01
3.875000000000001332e+00 3.289709999999996248e-01
3.925000000000002043e+00 3.148105999999993854e-01
3.975000000000001865e+00 3.006501999999994790e-01
4.025000000000002132e+00 2.872578999999994553e-01
4.075000000000001954e+00 2.746336999999994810e-01
4.125000000000002665e+00 2.620094999999993401e-01
4.175000000000002487e+00 2.493852999999993658e-01
4.225000000000002309e+00 2.367610999999993915e-01
4.275000000000002132e+00 2.253427999999995657e-01
4.325000000000002842e+00 2.151303999999994165e-01
4.375000000000002665e+00 2.049179999999994339e-01
4.425000000000002487e+00 1.947055999999994791e-01
4.475000000000002309e+00 1.844931999999995242e-01
4.525000000000003020e+00 1.752233999999995018e-01
4.575000000000002842e+00 1.668961999999995227e-01
4.625000000000002665e+00 1.585689999999995714e-01
4.675000000000002487e+00 1.502417999999995923e-01
4.725000000000003197e+00 1.419145999999994745e-01
4.775000000000003020e+00 1.349654999999996829e-01
4.825000000000002842e+00 1.293944999999996903e-01
4.875000000000002665e+00 1.238234999999997116e-01
4.925000000000003375e+00 1.182524999999996218e-01
4.975000000000003197e+00 1.126814999999996431e-01
5.025000000000003020e+00 1.075501699999997091e-01
5.075000000000002842e+00 1.028585099999997365e-01
5.125000000000003553e+00 9.816684999999966688e-02
5.175000000000003375e+00 9.347518999999968048e-02
5.225000000000003197e+00 8.878352999999970796e-02
5.275000000000003020e+00 8.424949999999974126e-02
5.325000000000003730e+00 7.987309999999966936e-02
5.375000000000003553e+00 7.549669999999969461e-02
5.425000000000003375e+00 7.112029999999970598e-02
5.475000000000003197e+00 6.674389999999971734e-02
5.525000000000003908e+00 6.319527999999978440e-02
5.575000000000003730e+00 6.047443999999978920e-02
5.625000000000003553e+00 5.775359999999980093e-02
5.675000000000003375e+00 5.503275999999981266e-02
5.725000000000004086e+00 5.231191999999977582e-02
5.775000000000003908e+00 4.975026999999981187e-02
5.825000000000003730e+00 4.734780999999981671e-02
5.875000000000003553e+00 4.494534999999982849e-02
5.925000000000003375e+00 4.254288999999983334e-02
5.975000000000004086e+00 4.014042999999980349e-02
6.025000000000003908e+00 3.791562999999983918e-02
6.075000000000003730e+00 3.586848999999985022e-02
6.125000000000004441e+00 3.382134999999981961e-02
6.175000000000004263e+00 3.177420999999982371e-02
6.225000000000004086e+00 2.972706999999983474e-02
6.275000000000003908e+00 2.800153999999989082e-02
6.325000000000003730e+00 2.659761999999989482e-02
6.375000000000004441e+00 2.519369999999987453e-02
6.425000000000004263e+00 2.378977999999987852e-02
6.475000000000004086e+00 2.238585999999988252e-02
6.525000000000004796e+00 2.112114999999989071e-02
6.575000000000004619e+00 1.999564999999989615e-02
6.625000000000004441e+00 1.887014999999989812e-02
6.675000000000004263e+00 1.774464999999990356e-02
6.725000000000004086e+00 1.661914999999990553e-02
6.775000000000004796e+00 1.558734999999990788e-02
6.825000000000004619e+00 1.464924999999991234e-02
6.875000000000004441e+00 1.371114999999991507e-02
6.925000000000005151e+00 1.277304999999990393e-02
6.975000000000004974e+00 1.183494999999990666e-02
7.025000000000004796e+00 1.094661099999991866e-02
7.075000000000004619e+00 1.010803299999992258e-02
7.125000000000004441e+00 9.269454999999924769e-03
7.175000000000005151e+00 8.430876999999913080e-03
7.225000000000004974e+00 7.592298999999916136e-03
7.275000000000004796e+00 6.919830999999950980e-03
7.325000000000005507e+00 6.413472999999943885e-03
7.375000000000005329e+00 5.907114999999945465e-03
7.425000000000005151e+00 5.400756999999947044e-03
7.475000000000004974e+00 4.894398999999949491e-03
7.525000000000004796e+00 4.474081999999967793e-03
7.575000000000005507e+00 4.139805999999962918e-03
7.625000000000005329e+00 3.805529999999964115e-03
7.675000000000005151e+00 3.471253999999965312e-03
7.725000000000005862e+00 3.136977999999960871e-03
7.775000000000005684e+00 2.834456999999969071e-03
7.825000000000005507e+00 2.563690999999970396e-03
7.875000000000005329e+00 2.292924999999971288e-03
7.925000000000005151e+00 2.022158999999972180e-03
7.975000000000005862e+00 1.751392999999968302e-03
8.025000000000005684e+00 1.520600549355251600e-03
8.075000000000006395e+00 1.346348036655441085e-03
8.125000000000007105e+00 1.192063909601074299e-03
8.175000000000006040e+00 1.055459900326702425e-03
8.225000000000006750e+00 9.345099639585998253e-04
8.275000000000005684e+00 8.274202292930194023e-04
8.325000000000006395e+00 7.326023929624356527e-04
8.375000000000007105e+00 6.486501624849933065e-04
8.425000000000006040e+00 5.743183988117052169e-04
8.475000000000006750e+00 5.085046490237646452e-04
8.525000000000007461e+00 4.502327952818355660e-04
8.575000000000006395e+00 3.986385775163732523e-04
8.625000000000007105e+00 3.529567751385173104e-04
8.675000000000006040e+00 3.125098576568784993e-04
8.725000000000006750e+00 2.766979358715940447e-04
8.775000000000007461e+00 2.449898646066452123e-04
8.825000000000006395e+00 2.169153650204167308e-04
8.875000000000007105e+00 1.920580496564109512e-04
8.925000000000007816e+00 1.700492467850421607e-04
8.975000000000006750e+00 1.505625324421028851e-04
9.025000000000007461e+00 1.333088890657358047e-04
9.075000000000006395e+00 1.180324189271623125e-04
9.125000000000007105e+00 1.045065487788085338e-04
9.175000000000007816e+00 9.253066942902514914e-05
9.225000000000006750e+00 8.192716040317414507e-05
9.275000000000007461e+00 7.253875556229284164e-05
9.325000000000008171e+00 6.422621060746806125e-05
9.375000000000007105e+00 5.686623787545538411e-05
9.425000000000007816e+00 5.034967779543644400e-05
9.475000000000006750e+00 4.457987988684019480e-05
9.525000000000007461e+00 3.947126928596183095e-05
9.575000000000008171e+00 3.494807754080162465e-05
9.625000000000007105e+00 3.094321884987563865e-05
9.675000000000007816e+00 2.739729507791775350e-05
9.725000000000008527e+00 2.425771479134642105e-05
