# First column -- energy in center of bin, bin
#             width 0.05 MeV. Bins start from
#             1.800000 and end at 13.000000
#             MeV
# Second column -- antineutrino spectrum for U238, Mueller model at given point
# 
E N_per_fission_per_MeV
1.824999999999999956e+00 1.620632595532589315e+00
1.875000000000000000e+00 1.579140954394557372e+00
1.925000000000000044e+00 1.538711587512314960e+00
1.975000000000000089e+00 1.499317298405713705e+00
2.024999999999999911e+00 1.460931586882338484e+00
2.075000000000000178e+00 1.423528631211057993e+00
2.125000000000000444e+00 1.387083270751975794e+00
2.175000000000000266e+00 1.351570989031087189e+00
2.225000000000000089e+00 1.316967897248262132e+00
2.275000000000000355e+00 1.284159003700058532e+00
2.325000000000000622e+00 1.253053744735701747e+00
2.375000000000000444e+00 1.222701926063748168e+00
2.425000000000000266e+00 1.193085297642464404e+00
2.475000000000000533e+00 1.164186051487738460e+00
2.525000000000000799e+00 1.134039172248137328e+00
2.575000000000000622e+00 1.102779002331106817e+00
2.625000000000000444e+00 1.072380529476360422e+00
2.675000000000000711e+00 1.042820000715532602e+00
2.725000000000000977e+00 1.014074317838792538e+00
2.775000000000000799e+00 9.868483302289546844e-01
2.825000000000000622e+00 9.610616151429569598e-01
2.875000000000000888e+00 9.359487165438067358e-01
2.925000000000001155e+00 9.114920273552856722e-01
2.975000000000000977e+00 8.876744005806463944e-01
3.025000000000000799e+00 8.635308810353651277e-01
3.075000000000001066e+00 8.391225788050119538e-01
3.125000000000001332e+00 8.154041942496977891e-01
3.175000000000001155e+00 7.923562263654677640e-01
3.225000000000000977e+00 7.699597253578354117e-01
3.275000000000001243e+00 7.463990897597302387e-01
3.325000000000001510e+00 7.218213966888386013e-01
3.375000000000001332e+00 6.980530065833103759e-01
3.425000000000001155e+00 6.750672704290228143e-01
3.475000000000001421e+00 6.528384167200103061e-01
3.525000000000001688e+00 6.308707641626581930e-01
3.575000000000001510e+00 6.091877325623935580e-01
3.625000000000001332e+00 5.882499468763251471e-01
3.675000000000001599e+00 5.680317929983230707e-01
3.725000000000001865e+00 5.485085371792245423e-01
3.775000000000001688e+00 5.294775405302332150e-01
3.825000000000001510e+00 5.109343464837737825e-01
3.875000000000001332e+00 4.930405662823289514e-01
3.925000000000002043e+00 4.757734563607370348e-01
3.975000000000001865e+00 4.591110696717437545e-01
4.025000000000002132e+00 4.417997788225382916e-01
4.075000000000001954e+00 4.239585504447383468e-01
4.125000000000002665e+00 4.068378055195943643e-01
4.175000000000002487e+00 3.904084487183234753e-01
4.225000000000002309e+00 3.746425596706424166e-01
4.275000000000002132e+00 3.588279135608035131e-01
4.325000000000002842e+00 3.430255987630356773e-01
4.375000000000002665e+00 3.279191973642279212e-01
4.425000000000002487e+00 3.134780622430531349e-01
4.475000000000002309e+00 2.996728959375630774e-01
4.525000000000003020e+00 2.862395607712339696e-01
4.575000000000002842e+00 2.731830375700763924e-01
4.625000000000002665e+00 2.607220742476548669e-01
4.675000000000002487e+00 2.488295049525634794e-01
4.725000000000003197e+00 2.374794029757711367e-01
4.775000000000003020e+00 2.265605526436026695e-01
4.825000000000002842e+00 2.160612659273367653e-01
4.875000000000002665e+00 2.060485379710319254e-01
4.925000000000003375e+00 1.964998206308670448e-01
4.975000000000003197e+00 1.873936106908528632e-01
5.025000000000003020e+00 1.785416666486932535e-01
5.075000000000002842e+00 1.699482019257382848e-01
5.125000000000003553e+00 1.617683529000645271e-01
5.175000000000003375e+00 1.539822116590254808e-01
5.225000000000003197e+00 1.465708284861659827e-01
5.275000000000003020e+00 1.392969804304437786e-01
5.325000000000003730e+00 1.321761299422242464e-01
5.375000000000003553e+00 1.254192967609047138e-01
5.425000000000003375e+00 1.190078723508976449e-01
5.475000000000003197e+00 1.129241994434651702e-01
5.525000000000003908e+00 1.070094333150578003e-01
5.575000000000003730e+00 1.012700028626534604e-01
5.625000000000003553e+00 9.583840566286527807e-02
5.675000000000003375e+00 9.069813113817130901e-02
5.725000000000004086e+00 8.583355425271142758e-02
5.775000000000003908e+00 8.106380556166713214e-02
5.825000000000003730e+00 7.640257799411072359e-02
5.875000000000003553e+00 7.200937438972759841e-02
5.925000000000003375e+00 6.786878317639562230e-02
5.975000000000004086e+00 6.396627895855855339e-02
