week	core	start_utc	end_utc	startdate	enddate	day	ndays	power	u235	u238	pu239	pu241
0	1	946684800	947289600	2000-01-01	2000-01-08	0	7	1.0	0.58	0.08	0.29	0.05
1	1	947289600	947894400	2000-01-08	2000-01-15	7	7	1.0	0.58	0.08	0.29	0.05
2	1	947894400	948499200	2000-01-15	2000-01-22	14	7	1.0	0.58	0.08	0.29	0.05
3	1	948499200	949104000	2000-01-22	2000-01-29	21	7	1.0	0.58	0.08	0.29	0.05
4	1	949104000	949708800	2000-01-29	2000-02-05	28	7	1.0	0.58	0.08	0.29	0.05
5	1	949708800	950313600	2000-02-05	2000-02-12	35	7	1.0	0.58	0.08	0.29	0.05
6	1	950313600	950918400	2000-02-12	2000-02-19	42	7	1.0	0.58	0.08	0.29	0.05
7	1	950918400	951523200	2000-02-19	2000-02-26	49	7	1.0	0.58	0.08	0.29	0.05
8	1	951523200	952128000	2000-02-26	2000-03-04	56	7	1.0	0.58	0.08	0.29	0.05
9	1	952128000	952732800	2000-03-04	2000-03-11	63	7	1.0	0.58	0.08	0.29	0.05
10	1	952732800	953337600	2000-03-11	2000-03-18	70	7	1.0	0.58	0.08	0.29	0.05
11	1	953337600	953942400	2000-03-18	2000-03-25	77	7	1.0	0.58	0.08	0.29	0.05
12	1	953942400	954547200	2000-03-25	2000-04-01	84	7	1.0	0.58	0.08	0.29	0.05
13	1	954547200	955152000	2000-04-01	2000-04-08	91	7	1.0	0.58	0.08	0.29	0.05
14	1	955152000	955756800	2000-04-08	2000-04-15	98	7	1.0	0.58	0.08	0.29	0.05
15	1	955756800	956361600	2000-04-15	2000-04-22	105	7	1.0	0.58	0.08	0.29	0.05
16	1	956361600	956966400	2000-04-22	2000-04-29	112	7	1.0	0.58	0.08	0.29	0.05
17	1	956966400	957571200	2000-04-29	2000-05-06	119	7	1.0	0.58	0.08	0.29	0.05
18	1	957571200	958176000	2000-05-06	2000-05-13	126	7	1.0	0.58	0.08	0.29	0.05
19	1	958176000	958780800	2000-05-13	2000-05-20	133	7	1.0	0.58	0.08	0.29	0.05
20	1	958780800	959385600	2000-05-20	2000-05-27	140	7	1.0	0.58	0.08	0.29	0.05
21	1	959385600	959990400	2000-05-27	2000-06-03	147	7	1.0	0.58	0.08	0.29	0.05
22	1	959990400	960595200	2000-06-03	2000-06-10	154	7	1.0	0.58	0.08	0.29	0.05
23	1	960595200	961200000	2000-06-10	2000-06-17	161	7	1.0	0.58	0.08	0.29	0.05
24	1	961200000	961804800	2000-06-17	2000-06-24	168	7	1.0	0.58	0.08	0.29	0.05
25	1	961804800	962409600	2000-06-24	2000-07-01	175	7	1.0	0.58	0.08	0.29	0.05
26	1	962409600	963014400	2000-07-01	2000-07-08	182	7	1.0	0.58	0.08	0.29	0.05
27	1	963014400	963619200	2000-07-08	2000-07-15	189	7	1.0	0.58	0.08	0.29	0.05
28	1	963619200	964224000	2000-07-15	2000-07-22	196	7	1.0	0.58	0.08	0.29	0.05
29	1	964224000	964828800	2000-07-22	2000-07-29	203	7	1.0	0.58	0.08	0.29	0.05
30	1	964828800	965433600	2000-07-29	2000-08-05	210	7	1.0	0.58	0.08	0.29	0.05
31	1	965433600	966038400	2000-08-05	2000-08-12	217	7	1.0	0.58	0.08	0.29	0.05
32	1	966038400	966643200	2000-08-12	2000-08-19	224	7	1.0	0.58	0.08	0.29	0.05
33	1	966643200	967248000	2000-08-19	2000-08-26	231	7	1.0	0.58	0.08	0.29	0.05
34	1	967248000	967852800	2000-08-26	2000-09-02	238	7	1.0	0.58	0.08	0.29	0.05
35	1	967852800	968457600	2000-09-02	2000-09-09	245	7	1.0	0.58	0.08	0.29	0.05
36	1	968457600	969062400	2000-09-09	2000-09-16	252	7	1.0	0.58	0.08	0.29	0.05
37	1	969062400	969667200	2000-09-16	2000-09-23	259	7	1.0	0.58	0.08	0.29	0.05
38	1	969667200	970272000	2000-09-23	2000-09-30	266	7	1.0	0.58	0.08	0.29	0.05
39	1	970272000	970876800	2000-09-30	2000-10-07	273	7	1.0	0.58	0.08	0.29	0.05
40	1	970876800	971481600	2000-10-07	2000-10-14	280	7	1.0	0.58	0.08	0.29	0.05
41	1	971481600	972086400	2000-10-14	2000-10-21	287	7	1.0	0.58	0.08	0.29	0.05
42	1	972086400	972691200	2000-10-21	2000-10-28	294	7	1.0	0.58	0.08	0.29	0.05
43	1	972691200	973296000	2000-10-28	2000-11-04	301	7	1.0	0.58	0.08	0.29	0.05
44	1	973296000	973900800	2000-11-04	2000-11-11	308	7	1.0	0.58	0.08	0.29	0.05
45	1	973900800	974505600	2000-11-11	2000-11-18	315	7	1.0	0.58	0.08	0.29	0.05
46	1	974505600	975110400	2000-11-18	2000-11-25	322	7	1.0	0.58	0.08	0.29	0.05
47	1	975110400	975715200	2000-11-25	2000-12-02	329	7	1.0	0.58	0.08	0.29	0.05
48	1	975715200	976320000	2000-12-02	2000-12-09	336	7	1.0	0.58	0.08	0.29	0.05
49	1	976320000	976924800	2000-12-09	2000-12-16	343	7	1.0	0.58	0.08	0.29	0.05
50	1	976924800	977529600	2000-12-16	2000-12-23	350	7	1.0	0.58	0.08	0.29	0.05
51	1	977529600	978134400	2000-12-23	2000-12-30	357	7	1.0	0.58	0.08	0.29	0.05
